no	n o |
pronto	p r o n t o |
cortesía	c o r t e s í a |
versallesca	v e r s a l l e s c a |
suspirando	s u s p i r a n d o |
respondí	r e s p o n d í |
fuerte	f u e r t e |
ernesto	e r n e s t o |
va	v a |
lista	l i s t a |
dicho	d i c h o |
ahora	a h o r a |
largo	l a r g o |
cocina	c o c i n a |
cierto	c i e r t o |
arrepentido	a r r e p e n t i d o |
todavía	t o d a v í a |
bellas	b e l l a s |
tentadoras	t e n t a d o r a s |
abrígate	a b r í g a t e |
hace	h a c e |
frío	f r í o |
ayuntamiento	a y u n t a m i e n t o |
suele	s u e l e |
estar	e s t a r |
centro	c e n t r o |
vegana	v e g a n a |
luego	l u e g o |
tenemos	t e n e m o s |
pensar	p e n s a r |
comida	c o m i d a |
quedan	q u e d a n |
canceladas	c a n c e l a d a s |
duchas	d u c h a s |
grifos	g r i f o s |
regalos	r e g a l o s |
nuevo	n u e v o |
amigo	a m i g o |
brillo	b r i l l o |
arrieros	a r r i e r o s |
somos	s o m o s |
camino	c a m i n o |
encontraremos	e n c o n t r a r e m o s |
corre	c o r r e |
cuanta	c u a n t a |
grandeza	g r a n d e z a |
llaneza	l l a n e z a |
hagan	h a g a n |
explotar	e x p l o t a r |
chico	c h i c o |
silla	s i l l a |
ruedas	r u e d a s |
tuya	t u y a |
hablando	h a b l a n d o |
dónde	d ó n d e |
cinta	c i n t a |
unión	u n i ó n |
lugar	l u g a r |
solos	s o l o s |
soy	s o y |
idiota	i d i o t a |
fuertes	f u e r t e s |
primavera	p r i m a v e r a |
sin	s i n |
golondrina	g o l o n d r i n a |
despensa	d e s p e n s a |
harina	h a r i n a |
supera	s u p e r a |
pongo	p o n g o |
malo	m a l o |
dan	d a n |
tiritonas	t i r i t o n a s |
lleguen	l l e g u e n |
redes	r e d e s |
pesca	p e s c a |
pasillos	p a s i l l o s |
humedecen	h u m e d e c e n |
labios	l a b i o s |
claro	c l a r o |
pensé	p e n s é |
estabas	e s t a b a s |
actuando	a c t u a n d o |
haremos	h a r e m o s |
leonor	l e o n o r |
dije	d i j e |
dentro	d e n t r o |
barco	b a r c o |
iremos	i r e m o s |
lourdes	l o u r d e s |
autocar	a u t o c a r |
céfiro	c é f i r o |
nocturno	n o c t u r n o |
traía	t r a í a |
jardín	j a r d í n |
aromas	a r o m a s |
susurros	s u s u r r o s |
igual	i g u a l |
breve	b r e v e |
celebrar	c e l e b r a r |
buena	b u e n a |
noticia	n o t i c i a |
incliné	i n c l i n é |
rendimiento	r e n d i m i e n t o |
tiene	t i e n e |
restos	r e s t o s |
roca	r o c a |
sus	s u s |
patas	p a t a s |
muchas	m u c h a s |
doctora	d o c t o r a |
moscas	m o s c a s |
cogen	c o g e n |
miel	m i e l |
hiel	h i e l |
dices	d i c e s |
eres	e r e s |
asesino	a s e s i n o |
pues	p u e s |
verlo	v e r l o |
amigos	a m i g o s |
secretos	s e c r e t o s |
posible	p o s i b l e |
renunciar	r e n u n c i a r |
patria	p a t r i a |
español	e s p a ñ o l |
caballero	c a b a l l e r o |
sentía	s e n t í a |
fiero	f i e r o |
desdeño	d e s d e ñ o |
injurias	i n j u r i a s |
altaneras	a l t a n e r a s |
campanas	c a m p a n a s |
convento	c o n v e n t o |
tocaron	t o c a r o n |
misa	m i s a |
esa	e s a |
nochecita	n o c h e c i t a |
toledana	t o l e d a n a |
ayudante	a y u d a n t e |
favorito	f a v o r i t o |
feo	f e o |
mandar	m a n d a r |
carta	c a r t a |
invitaría	i n v i t a r í a |
niño	n i ñ o |
tiempo	t i e m p o |
jugar	j u g a r |
vida	v i d a |
hombres	h o m b r e s |
amito	a m i t o |
capítulo	c a p í t u l o |
tres	t r e s |
chao	c h a o |
hasta	h a s t a |
iban	i b a n |
ustedes	u s t e d e s |
balsa	b a l s a |
atacaron	a t a c a r o n |
buscaban	b u s c a b a n |
escondido	e s c o n d i d o |
oportunidad	o p o r t u n i d a d |
dudas	d u d a s |
madrid	m a d r i d |
hay	h a y |
muchos	m u c h o s |
museos	m u s e o s |
prado	p r a d o |
reina	r e i n a |
sofía	s o f í a |
etc	e t c |
referéndum	r e f e r é n d u m |
excusa	e x c u s a |
abrir	a b r i r |
gimnasio	g i m n a s i o |
escuela	e s c u e l a |
limpiarlo	l i m p i a r l o |
lobo	l o b o |
diente	d i e n t e |
maestro	m a e s t r o |
echa	e c h a |
borrón	b o r r ó n |
juego	j u e g o |
practicaremos	p r a c t i c a r e m o s |
componente	c o m p o n e n t e |
didáctico	d i d á c t i c o |
confiar	c o n f i a r |
anticiclón	a n t i c i c l ó n |
prolongará	p r o l o n g a r á |
acostumbrarme	a c o s t u m b r a r m e |
bailes	b a i l e s |
cenas	c e n a s |
velas	v e l a s |
tanto	t a n t o |
encendieron	e n c e n d i e r o n |
luces	l u c e s |
bordo	b o r d o |
continuaba	c o n t i n u a b a |
puente	p u e n t e |
calló	c a l l ó |
tal	t a l |
vez	v e z |
esperando	e s p e r a n d o |
disculpa	d i s c u l p a |
amante	a m a n t e |
preferí	p r e f e r í |
guardar	g u a r d a r |
silencio	s i l e n c i o |
hijos	h i j o s |
dar	d a r |
ramas	r a m a s |
medio	m e d i o |
sumergidas	s u m e r g i d a s |
revoloteaban	r e v o l o t e a b a n |
algunos	a l g u n o s |
pájaros	p á j a r o s |
quimérico	q u i m é r i c o |
legendario	l e g e n d a r i o |
plumaje	p l u m a j e |
pesar	p e s a r |
haber	h a b e r |
llegado	l l e g a d o |
puerto	p u e r t o |
cago	c a g o |
ayuda	a y u d a |
salimos	s a l i m o s |
flote	f l o t e |
dejaos	d e j a o s |
besos	b e s o s |
caricias	c a r i c i a s |
abrazos	a b r a z o s |
millones	m i l l o n e s |
años	a ñ o s |
dinosaurios	d i n o s a u r i o s |
caminaban	c a m i n a b a n |
tierra	t i e r r a |
patio	p a t i o |
colegio	c o l e g i o |
paraba	p a r a b a |
recibir	r e c i b i r |
hostias	h o s t i a s |
boca	b o c a |
cerrada	c e r r a d a |
vas	v a s |
matarme	m a t a r m e |
oh	o h |
asistente	a s i s t e n t e |
virtual	v i r t u a l |
tu	t u |
palabra	p a l a b r a |
busco	b u s c o |
decirla	d e c i r l a |
basta	b a s t a |
favor	f a v o r |
párpados	p á r p a d o s |
permanecían	p e r m a n e c í a n |
entreabiertos	e n t r e a b i e r t o s |
rígidos	r í g i d o s |
azulencos	a z u l e n c o s |
remonte	r e m o n t e |
dos	d o s |
piezas	p i e z a s |
encajan	e n c a j a n |
sitio	s i t i o |
pueden	p u e d e n |
encajar	e n c a j a r |
otro	o t r o |
placer	p l a c e r |
moribundo	m o r i b u n d o |
amó	a m ó |
formas	f o r m a s |
diversas	d i v e r s a s |
tubérculo	t u b é r c u l o |
tú	t ú |
escuchas	e s c u c h a s |
hablo	h a b l o |
ay	a y |
madre	m a d r e |
sobraría	s o b r a r í a |
alguacil	a l g u a c i l |
morada	m o r a d a |
desde	d e s d e |
aquí	a q u í |
casi	c a s i |
está	e s t á |
parece	p a r e c e |
llevamos	l l e v a m o s |
cuitado	c u i t a d o |
dediqué	d e d i q u é |
limpiar	l i m p i a r |
cristales	c r i s t a l e s |
bastián	b a s t i á n |
resaca	r e s a c a |
acojonante	a c o j o n a n t e |
pobre	p o b r e |
veinticuatro	v e i n t i c u a t r o |
horas	h o r a s |
hacía	h a c í a |
camello	c a m e l l o |
mula	m u l a |
espero	e s p e r o |
bar	b a r |
mandamientos	m a n d a m i e n t o s |
votos	v o t o s |
indudable	i n d u d a b l e |
perdonaba	p e r d o n a b a |
suerte	s u e r t e |
hizo	h i z o |
cruzar	c r u z a r |
llegaremos	l l e g a r e m o s |
esos	e s o s |
profesionales	p r o f e s i o n a l e s |
fuera	f u e r a |
lloviendo	l l o v i e n d o |
seguiremos	s e g u i r e m o s |
dejamos	d e j a m o s |
ayer	a y e r |
hijo	h i j o |
importante	i m p o r t a n t e |
vigilancia	v i g i l a n c i a |
modo	m o d o |
entrar	e n t r a r |
ah	a h |
sí	s í |
vaya	v a y a |
chiflado	c h i f l a d o |
reunir	r e u n i r |
ganado	g a n a d o |
pican	p i c a n |
fueran	f u e r a n |
perdigones	p e r d i g o n e s |
mayor	m a y o r |
afán	a f á n |
soledad	s o l e d a d |
camarote	c a m a r o t e |
edificaba	e d i f i c a b a |
espíritu	e s p í r i t u |
largas	l a r g a s |
reflexiones	r e f l e x i o n e s |
ahorrad	a h o r r a d |
pilas	p i l a s |
adelante	a d e l a n t e |
debes	d e b e s |
cuidar	c u i d a r |
tus	t u s |
juguetes	j u g u e t e s |
casada	c a s a d a |
historiador	h i s t o r i a d o r |
levanto	l e v a n t o |
ojos	o j o s |
peñascos	p e ñ a s c o s |
ribera	r i b e r a |
decisiones	d e c i s i o n e s |
tomamos	t o m a m o s |
baterías	b a t e r í a s |
están	e s t á n |
agotando	a g o t a n d o |
picado	p i c a d o |
billete	b i l l e t e |
aprendiendo	a p r e n d i e n d o |
recordarlo	r e c o r d a r l o |
impensadamente	i m p e n s a d a m e n t e |
toma	t o m a |
vuelo	v u e l o |
lanza	l a n z a |
escala	e s c a l a |
alabado	a l a b a d o |
sea	s e a |
dios	d i o s |
trujo	t r u j o |
peligros	p e l i g r o s |
cómo	c ó m o |
bajen	b a j e n |
siquiera	s i q u i e r a |
voz	v o z |
muerto	m u e r t o |
hoyo	h o y o |
vivo	v i v o |
bollo	b o l l o |
virtud	v i r t u d |
cosas	c o s a s |
extrañas	e x t r a ñ a s |
suceden	s u c e d e n |
descuento	d e s c u e n t o |
solo	s o l o |
aplicable	a p l i c a b l e |
martes	m a r t e s |
deberíamos	d e b e r í a m o s |
darle	d a r l e |
indicó	i n d i c ó |
blondo	b l o n d o |
gigantesco	g i g a n t e s c o |
adolescente	a d o l e s c e n t e |
descoyuntó	d e s c o y u n t ó |
saludando	s a l u d a n d o |
saltar	s a l t a r |
queramos	q u e r a m o s |
demasiada	d e m a s i a d a |
hambre	h a m b r e |
ir	i r |
montar	m o n t a r |
bici	b i c i |
tampoco	t a m p o c o |
dormido	d o r m i d o |
gesto	g e s t o |
lavar	l a v a r |
platos	p l a t o s |
antonio	a n t o n i o |
probar	p r o b a r |
mentido	m e n t i d o |
cumpleaños	c u m p l e a ñ o s |
próxima	p r ó x i m a |
pasa	p a s a |
allá	a l l á |
recojo	r e c o j o |
estropajo	e s t r o p a j o |
cobre	c o b r e |
quieres	q u i e r e s |
uno	u n o |
rostro	r o s t r o |
distinguido	d i s t i n g u i d o |
aventuras	a v e n t u r a s |
disfrutar	d i s f r u t a r |
capítulos	c a p í t u l o s |
siete	s i e t e |
ocho	o c h o |
sonata	s o n a t a |
estío	e s t í o |
ramón	r a m ó n |
maría	m a r í a |
valleinclán	v a l l e i n c l á n |
diez	d i e z |
mañanas	m a ñ a n a s |
interpuso	i n t e r p u s o |
gritando	g r i t a n d o |
angustia	a n g u s t i a |
concepto	c o n c e p t o |
negativo	n e g a t i v o |
mismo	m i s m o |
luna	l u n a |
bella	b e l l a |
diga	d i g a |
dijo	d i j o |
vivamos	v i v a m o s |
lleguemos	l l e g u e m o s |
allí	a l l í |
llevarte	l l e v a r t e |
hogar	h o g a r |
soldado	s o l d a d o |
atado	a t a d o |
bomba	b o m b a |
entro	e n t r o |
quito	q u i t o |
ropa	r o p a |
reventado	r e v e n t a d o |
tiro	t i r o |
sofá	s o f á |
hola	h o l a |
compañeros	c o m p a ñ e r o s |
hacia	h a c i a |
infinito	i n f i n i t o |
reparte	r e p a r t e |
teoría	t e o r í a |
estoy	e s t o y |
retrasa	r e t r a s a |
iba	i b a |
realizar	r e a l i z a r |
septiembre	s e p t i e m b r e |
cerveza	c e r v e z a |
alcohol	a l c o h o l |
encontré	e n c o n t r é |
espacial	e s p a c i a l |
tan	t a n |
contento	c o n t e n t o |
verlos	v e r l o s |
muchachos	m u c h a c h o s |
vueltas	v u e l t a s |
entras	e n t r a s |
puerta	p u e r t a |
adivinado	a d i v i n a d o |
levanta	l e v a n t a |
caza	c a z a |
mata	m a t a |
habla	h a b l a |
quieras	q u i e r a s |
sino	s i n o |
puedas	p u e d a s |
venir	v e n i r |
dormir	d o r m i r |
enero	e n e r o |
apunta	a p u n t a |
trece	t r e c e |
cases	c a s e s |
embarques	e m b a r q u e s |
durante	d u r a n t e |
vacaciones	v a c a c i o n e s |
desconectar	d e s c o n e c t a r |
trabajo	t r a b a j o |
saca	s a c a |
carnet	c a r n e t |
conducir	c o n d u c i r |
llamarlos	l l a m a r l o s |
venga	v e n g a |
tira	t i r a |
colombia	c o l o m b i a |
buen	b u e n |
callar	c a l l a r |
hablar	h a b l a r |
él	é l |
venía	v e n í a |
jueves	j u e v e s |
después	d e s p u é s |
cenar	c e n a r |
dice	d i c e |
huevos	h u e v o s |
eclosionan	e c l o s i o n a n |
menos	m e n o s |
piensa	p i e n s a |
marqués	m a r q u é s |
prefiere	p r e f i e r e |
disponga	d i s p o n g a |
otra	o t r a |
celda	c e l d a |
descanso	d e s c a n s o |
metiendo	m e t i e n d o |
bajera	b a j e r a |
fofa	f o f a |
acompañado	a c o m p a ñ a d o |
huelga	h u e l g a |
trenes	t r e n e s |
ramiro	r a m i r o |
fletar	f l e t a r |
pato	p a t o |
recogimiento	r e c o g i m i e n t o |
amoroso	a m o r o s o |
tentador	t e n t a d o r |
guío	g u í o |
refectorio	r e f e c t o r i o |
torno	t o r n o |
servirla	s e r v i r l a |
presento	p r e s e n t o |
dejar	d e j a r |
pesadillas	p e s a d i l l a s |
mella	m e l l a |
supongo	s u p o n g o |
generador	g e n e r a d o r |
emergencia	e m e r g e n c i a |
experiencias	e x p e r i e n c i a s |
personales	p e r s o n a l e s |
valoras	v a l o r a s |
pistolas	p i s t o l a s |
hago	h a g o |
superarlo	s u p e r a r l o |
llama	l l a m a |
pasión	p a s i ó n |
envolviéndonos	e n v o l v i é n d o n o s |
temblorosa	t e m b l o r o s a |
lengua	l e n g u a |
dorada	d o r a d a |
debe	d e b e |
asegurarse	a s e g u r a r s e |
club	c l u b |
construyendo	c o n s t r u y e n d o |
plataforma	p l a t a f o r m a |
cincuenta	c i n c u e n t a |
pulsaciones	p u l s a c i o n e s |
bajando	b a j a n d o |
sombra	s o m b r a |
negruzca	n e g r u z c a |
indio	i n d i o |
asomó	a s o m ó |
este	e s t e |
estado	e s t a d o |
ricardo	r i c a r d o |
firme	f i r m e |
frena	f r e n a |
cadenas	c a d e n a s |
cansado	c a n s a d o |
buscar	b u s c a r |
bebito	b e b i t o |
noches	n o c h e s |
instinto	i n s t i n t o |
supervivencia	s u p e r v i v e n c i a |
conectado	c o n e c t a d o |
base	b a s e |
prefiero	p r e f i e r o |
hablarte	h a b l a r t e |
insultarte	i n s u l t a r t e |
marte	m a r t e |
simple	s i m p l e |
vista	v i s t a |
perdido	p e r d i d o |
señora	s e ñ o r a |
información	i n f o r m a c i ó n |
sobre	s o b r e |
diferentes	d i f e r e n t e s |
tipos	t i p o s |
curso	c u r s o |
dados	d a d o s |
seis	s e i s |
caras	c a r a s |
pueblo	p u e b l o |
rumbo	r u m b o |
nordeste	n o r d e s t e |
digo	d i g o |
cinco	c i n c o |
o	o |
comido	c o m i d o |
conozco	c o n o z c o |
van	v a n |
deberes	d e b e r e s |
alguno	a l g u n o |
desayunar	d e s a y u n a r |
duele	d u e l e |
espalda	e s p a l d a |
sentado	s e n t a d o |
nervioso	n e r v i o s o |
saco	s a c o |
debajo	d e b a j o |
piedras	p i e d r a s |
verán	v e r á n |
néctar	n é c t a r |
momento	m o m e n t o |
asustarse	a s u s t a r s e |
aire	a i r e |
vengan	v e n g a n |
manadas	m a n a d a s |
mujer	m u j e r |
enferma	e n f e r m a |
eterna	e t e r n a |
vende	v e n d e |
así	a s í |
tengan	t e n g a n |
cuchillo	c u c h i l l o |
mano	m a n o |
decir	d e c i r |
citas	c i t a s |
especiales	e s p e c i a l e s |
tenían	t e n í a n |
envidia	e n v i d i a |
manos	m a n o s |
sabían	s a b í a n |
fondo	f o n d o |
oscuro	o s c u r o |
oriente	o r i e n t e |
vuelta	v u e l t a |
palomares	p a l o m a r e s |
conmigo	c o n m i g o |
apropiado	a p r o p i a d o |
historia	h i s t o r i a |
contaba	c o n t a b a |
servía	s e r v í a |
ojalá	o j a l á |
llueva	l l u e v a |
sabía	s a b í a |
grupos	g r u p o s |
pequeños	p e q u e ñ o s |
ves	v e s |
justo	j u s t o |
dejaste	d e j a s t e |
pecar	p e c a r |
ofender	o f e n d e r |
rompe	r o m p e |
golpea	g o l p e a |
pecho	p e c h o |
sorpresa	s o r p r e s a |
mía	m í a |
hallábame	h a l l á b a m e |
completamente	c o m p l e t a m e n t e |
despierto	d e s p i e r t o |
podían	p o d í a n |
haberse	h a b e r s e |
salido	s a l i d o |
órbitas	ó r b i t a s |
visto	v i s t o |
huellas	h u e l l a s |
acabo	a c a b o |
sólo	s ó l o |
reinaba	r e i n a b a |
ellos	e l l o s |
viento	v i e n t o |
murmurador	m u r m u r a d o r |
nota	n o t a |
olas	o l a s |
llame	l l a m e |
vea	v e a |
luz	l u z |
portillo	p o r t i l l o |
tratan	t r a t a n |
importancia	i m p o r t a n c i a |
ainhoa	a i n h o a |
merece	m e r e c e |
feliz	f e l i z |
belleza	b e l l e z a |
cría	c r í a |
cuatro	c u a t r o |
madrugada	m a d r u g a d a |
disparado	d i s p a r a d o |
alarma	a l a r m a |
sigo	s i g o |
playa	p l a y a |
lunes	l u n e s |
toca	t o c a |
clarinete	c l a r i n e t e |
proseguía	p r o s e g u í a |
agarrarme	a g a r r a r m e |
mas	m a s |
arrebujada	a r r e b u j a d a |
aquella	a q u e l l a |
túnica	t ú n i c a |
seda	s e d a |
dándote	d á n d o t e |
mesada	m e s a d a |
esas	e s a s |
eran	e r a n |
condiciones	c o n d i c i o n e s |
porqué	p o r q u é |
entonces	e n t o n c e s |
haré	h a r é |
escupe	e s c u p e |
cae	c a e |
pudieron	p u d i e r o n |
conseguir	c o n s e g u i r |
